"Authorize","Autoriser"
                - Pas de virgules finales autorisées après la dernière propriété"
"The resource isn't set.","La ressource n'est pas définie."
"An error occurred rendering the pay with card. Please try again later.","Une erreur s'est produite lors du rendu du paiement par carte. Veuillez réessayer plus tard."
"Name on card","Nom sur la carte"
"Card number","Numéro de carte"
"Save payment information to my account for future purchases","Enregistrer les informations de paiement sur mon compte pour les achats futurs"
"An error occurred trying save the card.","Une erreur s'est produite lors de la tentative d'enregistrement de la carte."
"expires","expire"
"It is not possible to make the payment with the saved card.","Il n'est pas possible d'effectuer le paiement avec la carte enregistrée."
"Save MONEI tokenization?","Enregistrer la tokenisation MONEI ?"
"MONEI payment methods are not available. Please, check your MONEI configuration.","Les méthodes de paiement MONEI ne sont pas disponibles. Veuillez vérifier votre configuration MONEI."
"Bizum payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","La méthode de paiement Bizum n'est pas disponible dans votre compte MONEI. Veuillez l'activer dans votre compte MONEI pour l'utiliser."
"Card payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","La méthode de paiement par carte n'est pas disponible dans votre compte MONEI. Veuillez l'activer dans votre compte MONEI pour l'utiliser."
"Google Pay and Apple Pay payment methods are not available in your MONEI account. Enable at least one of them in your MONEI account to use it.","Les méthodes de paiement Google Pay et Apple Pay ne sont pas disponibles dans votre compte MONEI. Activez au moins l'une d'entre elles dans votre compte MONEI pour l'utiliser."
"Multibanco payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","La méthode de paiement Multibanco n'est pas disponible dans votre compte MONEI. Veuillez l'activer dans votre compte MONEI pour l'utiliser."
"MBWay payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","La méthode de paiement MBWay n'est pas disponible dans votre compte MONEI. Veuillez l'activer dans votre compte MONEI pour l'utiliser."
"Payment failed: %1","Échec du paiement : %1"
"Payment failed with error code %1: %2","Échec du paiement avec le code d'erreur %1 : %2"
"Stored Cards","Cartes Enregistrées"
"Place Order","Passer la Commande"
"Check / Money order","Chèque / Mandat"
"Pay with other payment methods","Payer avec d'autres méthodes de paiement"
"Pay with card","Payer par carte"
"Google Pay","Google Pay"
"Multibanco","Multibanco"
"MBWay","MBWay"
"Bizum","Bizum"
"Stored Cards (Monei)","Cartes Enregistrées (MONEI)"
"Google/Apple Pay","Google/Apple Pay"
"Processing Payment","Traitement du Paiement"
"Format JSON","Formater JSON"
"Invalid JSON","JSON Invalide"
"The JSON entered is invalid: %1","Le JSON saisi est invalide : %1"
"Please enter valid JSON. Examples: {"height":"45px"} or {"base":{"height":"30px"}}","Veuillez saisir un JSON valide. Exemples : {"height":"45px"} ou {"base":{"height":"30px"}}"
"An error occurred with the payment. Please try again.","Une erreur s'est produite avec le paiement. Veuillez réessayer."
"There was an error processing your payment. Please try again.","Une erreur s'est produite lors du traitement de votre paiement. Veuillez réessayer."
"Ok","Ok"
"Are you sure you want to cancel this order?","Êtes-vous sûr de vouloir annuler cette commande ?"
"English","Anglais"
"Spanish","Espagnol"
"Catalan","Catalan"
"Portuguese","Portugais"
"German","Allemand"
"Italian","Italien"
"French","Français"
"Dutch","Néerlandais"
"Estonian","Estonien"
"Finnish","Finnois"
"Latvian","Letton"
"Norwegian","Norvégien"
"Polish","Polonais"
"Russian","Russe"
