"Authorize","Autoritzar"
"To define if we are going to connect with production or testing WS environment","Per definir si ens connectarem amb l'entorn de producció o de proves"
"Test Account Id","ID de Compte de Proves"
"Production Account Id","ID de Compte de Producció"
"Test Api Key","Clau API de Proves"
"Production Api Key","Clau API de Producció"
"Language","Idioma"
"Basic settings:","Configuració Bàsica:"
"Email Settings:","Configuració de Correu:"
"Send Order Email","Enviar Correu de Comanda"
"Send Invoice Email","Enviar Correu de Factura"
"Controls whether to send order confirmation emails after payment is confirmed","Controla si s'envien correus de confirmació de comanda després de confirmar el pagament"
"Controls whether to send invoice emails for automatically created invoices. Does not affect manually created invoices, for which merchants can choose to notify customers during creation.","Controla si s'envien correus de factura per a factures creades automàticament. No afecta les factures creades manualment, per a les quals els comerciants poden triar notificar els clients durant la creació."
"MONEI Redirect:","Redirecció de MONEI:"
"Enable","Habilitar"
"Title","Títol"
"Description","Descripció"
"Payment from Applicable Countries","Pagament des de Països Aplicables"
"Payment from Specific Countries","Pagament des de Països Específics"
"Sort Order","Ordre de Classificació"
"MONEI Card Insite:","Targeta MONEI al Lloc:"
"Enable tokenization","Habilitar tokenització"
"Json style","Estil Json"
"MONEI Bizum Insite:","Bizum MONEI al Lloc:"
"MONEI Google and Apple Pay Insite:","Google i Apple Pay MONEI al Lloc:"
"Title Google Pay","Títol Google Pay"
"Title Apple Pay","Títol Apple Pay"
"Title Multibanco","Títol Multibanco"
"Title MBWay","Títol MBWay"
"Multibanco Redirect:","Redirecció de Multibanco:"
"MBWay Redirect:","Redirecció de MBWay:"
"MONEI PayPal Insite:","PayPal MONEI al Lloc:"
"Select 'Yes' if you want to enable this payment method. Otherwise 'No'.","Seleccioneu 'Sí' si voleu habilitar aquest mètode de pagament. En cas contrari, 'No'."
"Text that will be displayed in checkout","Text que es mostrarà al procés de pagament"
"Text that will be displayed in checkout for Google Pay","Text que es mostrarà al procés de pagament per a Google Pay"
"Text that will be displayed in checkout for Apple Pay","Text que es mostrarà al procés de pagament per a Apple Pay"
"Text that will be displayed in checkout for Multibanco","Text que es mostrarà al procés de pagament per a Multibanco"
"Text that will be displayed in checkout for MBWay","Text que es mostrarà al procés de pagament per a MBWay"
"Small description that will be displayed in checkout (Under title)","Petita descripció que es mostrarà al procés de pagament (Sota el títol)"
"Selectable with all the processing order statuses","Seleccionable amb tots els estats de comanda en processament"
"Selectable with all the pending order statuses","Seleccionable amb tots els estats de comanda pendents"
"In which order the payment method will be displayed in checkout","En quin ordre es mostrarà el mètode de pagament al procés de pagament"
"Are you certain you want to cancel this order? This action will automatically cancel the authorized (uncaptured) payment and release the customer's funds.","Esteu segur que voleu cancel·lar aquesta comanda? Aquesta acció cancel·larà automàticament el pagament autoritzat (no capturat) i alliberarà els fons del client."
"Cancel the order","Cancel·lar la comanda"
"Never mind","No importa"
"Cancel","Cancel·lar"
"Cancellation reason","Motiu de la cancel·lació"
"MONEI API key is not configured. Please set it in the module configuration.","La clau API de MONEI no està configurada. Configureu-la a la configuració del mòdul."
"Custom json style for the card component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Estil json personalitzat per al component de targeta. Més informació <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">aquí</a>"
"Custom json style for the bizum component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Estil json personalitzat per al component de bizum. Més informació <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">aquí</a>"
"Custom json style for the google and apple component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Estil json personalitzat per al component de google i apple. Més informació <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">aquí</a>"
"Allowed Countries","Països Permesos"
"Checking payment status...","Comprovant l'estat del pagament..."
"Checking payment status, it may take a few seconds...","Comprovant l'estat del pagament, pot trigar uns segons..."
"Loading","Carregant"
"Payment error: %1","Error de pagament: %1"
"Payment error with code %1: %2","Error de pagament amb codi %1: %2"
"Payment was canceled by the customer or the payment processor","El pagament va ser cancel·lat pel client o el processador de pagaments"
"Payment expired","El pagament ha caducat"
"Transaction approved","Transacció aprovada"
"Service internal error. Please contact support","Error intern del servei. Contacteu amb suport"
"Transaction failed during payment processing","La transacció ha fallat durant el processament del pagament"
"Transaction declined by the card-issuing bank","Transacció rebutjada pel banc emissor de la targeta"
"Transaction declined by the issuing bank","Transacció rebutjada pel banc emissor"
"Payment method not allowed","Mètode de pagament no permès"
"Wrong or not allowed currency","Moneda incorrecta o no permesa"
"Card rejected: invalid card number","Targeta rebutjada: número de targeta no vàlid"
"Card rejected: wrong expiration date","Targeta rebutjada: data de caducitat incorrecta"
"Card rejected: wrong CVC/CVV2 number","Targeta rebutjada: número CVC/CVV2 incorrecte"
"Card number not registered","Número de targeta no registrat"
"Card is expired","La targeta ha caducat"
"Strong Customer Authentication required","Es requereix Autenticació Reforçada de Client"
"3D Secure authentication failed","L'autenticació 3D Secure ha fallat"
"Authentication process timed out. Please try again","El procés d'autenticació ha caducat. Torneu-ho a provar"
"Transaction declined due to insufficient funds","Transacció rebutjada per fons insuficients"
"The user has canceled the payment","L'usuari ha cancel·lat el pagament"
"Unknown error code: %1","Codi d'error desconegut: %1"
"You do not have permission to save this configuration.","No teniu permís per desar aquesta configuració."
"Invalid JSON format in %1 field: %2. Please ensure that you provide valid JSON. Examples:
                - For a simple style: {"height":"45px"}
                - For nested properties: {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Make sure all property names and string values are enclosed in double quotes
                - No trailing commas allowed after the last property","Format JSON no vàlid al camp %1: %2. Assegureu-vos de proporcionar un JSON vàlid. Exemples:
                - Per a un estil simple: {"height":"45px"}
                - Per a propietats niuades: {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Assegureu-vos que tots els noms de propietat i valors de cadena estiguin entre cometes dobles
                - No es permeten comes finals després de l'última propietat"
"The resource isn't set.","El recurs no està establert."
"An error occurred rendering the pay with card. Please try again later.","S'ha produït un error en renderitzar el pagament amb targeta. Torneu-ho a provar més tard."
"Name on card","Nom a la targeta"
"Card number","Número de targeta"
"Save payment information to my account for future purchases","Desar la informació de pagament al meu compte per a futures compres"
"An error occurred trying save the card.","S'ha produït un error en intentar desar la targeta."
"expires","caduca"
"It is not possible to make the payment with the saved card.","No és possible fer el pagament amb la targeta desada."
"Save MONEI tokenization?","Desar la tokenització de MONEI?"
"MONEI payment methods are not available. Please, check your MONEI configuration.","Els mètodes de pagament MONEI no estan disponibles. Comproveu la vostra configuració de MONEI."
"Bizum payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","El mètode de pagament Bizum no està disponible al vostre compte de MONEI. Habiliteu-lo al vostre compte de MONEI per utilitzar-lo."
"Card payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","El mètode de pagament amb targeta no està disponible al vostre compte de MONEI. Habiliteu-lo al vostre compte de MONEI per utilitzar-lo."
"Google Pay and Apple Pay payment methods are not available in your MONEI account. Enable at least one of them in your MONEI account to use it.","Els mètodes de pagament Google Pay i Apple Pay no estan disponibles al vostre compte de MONEI. Habiliteu almenys un d'ells al vostre compte de MONEI per utilitzar-lo."
"Multibanco payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","El mètode de pagament Multibanco no està disponible al vostre compte de MONEI. Habiliteu-lo al vostre compte de MONEI per utilitzar-lo."
"MBWay payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","El mètode de pagament MBWay no està disponible al vostre compte de MONEI. Habiliteu-lo al vostre compte de MONEI per utilitzar-lo."
"Payment failed: %1","Pagament fallat: %1"
"Payment failed with error code %1: %2","Pagament fallat amb codi d'error %1: %2"
"Stored Cards","Targetes Desades"
"Place Order","Fer la Comanda"
"Check / Money order","Xec / Gir postal"
"Pay with other payment methods","Pagar amb altres mètodes de pagament"
"Pay with card","Pagar amb targeta"
"Google Pay","Google Pay"
"Multibanco","Multibanco"
"MBWay","MBWay"
"Bizum","Bizum"
"Stored Cards (Monei)","Targetes Desades (MONEI)"
"Google/Apple Pay","Google/Apple Pay"
"Processing Payment","Processant Pagament"
"Format JSON","Formatar JSON"
"Invalid JSON","JSON no vàlid"
"The JSON entered is invalid: %1","El JSON introduït no és vàlid: %1"
"Please enter valid JSON. Examples: {"height":"45px"} or {"base":{"height":"30px"}}","Introduïu un JSON vàlid. Exemples: {"height":"45px"} o {"base":{"height":"30px"}}"
"An error occurred with the payment. Please try again.","S'ha produït un error amb el pagament. Torneu-ho a provar."
"There was an error processing your payment. Please try again.","S'ha produït un error en processar el vostre pagament. Torneu-ho a provar."
"Ok","D'acord"
"Are you sure you want to cancel this order?","Esteu segur que voleu cancel·lar aquesta comanda?"
"English","Anglès"
"Spanish","Espanyol"
"Catalan","Català"
"Portuguese","Portuguès"
"German","Alemany"
"Italian","Italià"
"French","Francès"
"Dutch","Holandès"
"Estonian","Estonià"
"Finnish","Finès"
"Latvian","Letó"
"Norwegian","Noruec"
"Polish","Polonès"
"Russian","Rus"
