"Authorize","Autoryzuj"
"Transaction declined by the issuing bank","Transakcja odrzucona przez bank wydający"
"Payment method not allowed","Metoda płatności niedozwolona"
"Wrong or not allowed currency","Nieprawidłowa lub niedozwolona waluta"
"Card rejected: invalid card number","Karta odrzucona: nieprawidłowy numer karty"
"Card rejected: wrong expiration date","Karta odrzucona: nieprawidłowa data ważności"
"Card rejected: wrong CVC/CVV2 number","Karta odrzucona: nieprawidłowy numer CVC/CVV2"
"Card number not registered","Numer karty nie zarejestrowany"
"Card is expired","Karta wygasła"
"Strong Customer Authentication required","Wymagane Silne Uwierzytelnianie Klienta"
"3D Secure authentication failed","Uwierzytelnianie 3D Secure nie powiodło się"
"Authentication process timed out. Please try again","Proces uwierzytelniania przekroczył limit czasu. Spróbuj ponownie"
"Transaction declined due to insufficient funds","Transakcja odrzucona z powodu niewystarczających środków"
"The user has canceled the payment","Użytkownik anulował płatność"
"Unknown error code: %1","Nieznany kod błędu: %1"
"You do not have permission to save this configuration.","Nie masz uprawnień do zapisania tej konfiguracji."
"Invalid JSON format in %1 field: %2. Please ensure that you provide valid JSON. Examples:
                - For a simple style: {"height":"45px"}
                - For nested properties: {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Make sure all property names and string values are enclosed in double quotes
                - No trailing commas allowed after the last property","Nieprawidłowy format JSON w polu %1: %2. Upewnij się, że podajesz prawidłowy JSON. Przykłady:
                - Dla prostego stylu: {"height":"45px"}
                - Dla zagnieżdżonych właściwości: {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Upewnij się, że wszystkie nazwy właściwości i wartości ciągów są ujęte w podwójne cudzysłowy
                - Nie są dozwolone przecinki po ostatniej właściwości"
"The resource isn't set.","Zasób nie jest ustawiony."
"An error occurred rendering the pay with card. Please try again later.","Wystąpił błąd podczas renderowania płatności kartą. Spróbuj ponownie później."
"Name on card","Imię i nazwisko na karcie"
"Card number","Numer karty"
"Save payment information to my account for future purchases","Zapisz informacje o płatności na moim koncie do przyszłych zakupów"
"An error occurred trying save the card.","Wystąpił błąd podczas próby zapisania karty."
"expires","wygasa"
"It is not possible to make the payment with the saved card.","Nie jest możliwe dokonanie płatności zapisaną kartą."
"Save MONEI tokenization?","Zapisać tokenizację MONEI?"
"MONEI payment methods are not available. Please, check your MONEI configuration.","Metody płatności MONEI nie są dostępne. Sprawdź swoją konfigurację MONEI."
"Bizum payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Metoda płatności Bizum nie jest dostępna na Twoim koncie MONEI. Włącz ją na swoim koncie MONEI, aby z niej korzystać."
"Card payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Metoda płatności kartą nie jest dostępna na Twoim koncie MONEI. Włącz ją na swoim koncie MONEI, aby z niej korzystać."
"Google Pay and Apple Pay payment methods are not available in your MONEI account. Enable at least one of them in your MONEI account to use it.","Metody płatności Google Pay i Apple Pay nie są dostępne na Twoim koncie MONEI. Włącz co najmniej jedną z nich na swoim koncie MONEI, aby z niej korzystać."
"Multibanco payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Metoda płatności Multibanco nie jest dostępna na Twoim koncie MONEI. Włącz ją na swoim koncie MONEI, aby z niej korzystać."
"MBWay payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Metoda płatności MBWay nie jest dostępna na Twoim koncie MONEI. Włącz ją na swoim koncie MONEI, aby z niej korzystać."
"Payment failed: %1","Płatność nie powiodła się: %1"
"Payment failed with error code %1: %2","Płatność nie powiodła się z kodem błędu %1: %2"
"Stored Cards","Zapisane Karty"
"Place Order","Złóż Zamówienie"
"Check / Money order","Czek / Przekaz pieniężny"
"Pay with other payment methods","Zapłać innymi metodami płatności"
"Pay with card","Zapłać kartą"
"Google Pay","Google Pay"
"Multibanco","Multibanco"
"MBWay","MBWay"
"Bizum","Bizum"
"Stored Cards (Monei)","Zapisane Karty (MONEI)"
"Google/Apple Pay","Google/Apple Pay"
"Processing Payment","Przetwarzanie Płatności"
"Format JSON","Formatuj JSON"
"Invalid JSON","Nieprawidłowy JSON"
"The JSON entered is invalid: %1","Wprowadzony JSON jest nieprawidłowy: %1"
"Please enter valid JSON. Examples: {"height":"45px"} or {"base":{"height":"30px"}}","Wprowadź prawidłowy JSON. Przykłady: {"height":"45px"} lub {"base":{"height":"30px"}}"
"An error occurred with the payment. Please try again.","Wystąpił błąd z płatnością. Spróbuj ponownie."
"There was an error processing your payment. Please try again.","Wystąpił błąd podczas przetwarzania Twojej płatności. Spróbuj ponownie."
"Ok","Ok"
"Are you sure you want to cancel this order?","Czy na pewno chcesz anulować to zamówienie?"
"English","Angielski"
"Spanish","Hiszpański"
"Catalan","Kataloński"
"Portuguese","Portugalski"
"German","Niemiecki"
"Italian","Włoski"
"French","Francuski"
"Dutch","Holenderski"
"Estonian","Estoński"
"Finnish","Fiński"
"Latvian","Łotewski"
"Norwegian","Norweski"
"Polish","Polski"
"Russian","Rosyjski"
"Card","Karta"
"The credit memo's total must be positive.","Suma noty kredytowej musi być dodatnia."
"Cannot create online refund for Refund to Store Credit.","Nie można utworzyć zwrotu online dla Zwrotu na Kredyt Sklepu."
"You created the credit memo.","Utworzyłeś notę kredytową."
"We can't save the credit memo right now.","Nie możemy teraz zapisać noty kredytowej."
"Your payment was canceled. Your cart has been restored so you can try again.","Twoja płatność została anulowana. Twój koszyk został przywrócony, więc możesz spróbować ponownie."
"There was a problem processing your payment. Your cart has been restored so you can try again.","Wystąpił problem podczas przetwarzania Twojej płatności. Twój koszyk został przywrócony, więc możesz spróbować ponownie."
"An unexpected error occurred. Please try again or contact customer support.","Wystąpił nieoczekiwany błąd. Spróbuj ponownie lub skontaktuj się z obsługą klienta."
"Invalid form key. Please refresh the page and try again.","Nieprawidłowy klucz formularza. Odśwież stronę i spróbuj ponownie."
"No payment method selected.","Nie wybrano metody płatności."
"No order found. Please return to checkout and try again.","Nie znaleziono zamówienia. Wróć do kasy i spróbuj ponownie."
"Unable to process payment. Please try again.","Nie można przetworzyć płatności. Spróbuj ponownie."
"Cannot capture payment: Missing payment ID","Nie można przechwycić płatności: Brak ID płatności"
"Error capturing payment: %1","Błąd podczas przechwytywania płatności: %1"
"Cannot process refund: Monei payment ID is missing.","Nie można przetworzyć zwrotu: Brak ID płatności Monei."
"Error processing refund: %1","Błąd podczas przetwarzania zwrotu: %1"
"•••• %1","•••• %1"
"PayPal payment method is not available in your Monei account. Please enable it in your Monei account to use it.","Metoda płatności PayPal nie jest dostępna na Twoim koncie Monei. Włącz ją na swoim koncie Monei, aby z niej korzystać."
"Missing required field: %1","Brak wymaganego pola: %1"
"Failed to convert Payment object to DTO: %1","Nie udało się przekonwertować obiektu Płatności na DTO: %1"
"MONEI Payment Error: %1","Błąd Płatności MONEI: %1"
"Failed to fetch payment data: %1","Nie udało się pobrać danych płatności: %1"
"Order status set to %1 after full refund.","Status zamówienia ustawiony na %1 po pełnym zwrocie."
"Failed to execute %1: %2","Nie udało się wykonać %1: %2"
"Store configuration issue: %1","Problem z konfiguracją sklepu: %1"
"Parameter ""%1"" failed validation.","Parametr ""%1"" nie przeszedł walidacji."
"Authentication error during reinitialization: Please check your MONEI API credentials","Błąd uwierzytelniania podczas reinicjalizacji: Sprawdź swoje dane uwierzytelniające API MONEI"
"Failed to reinitialize MONEI payment gateway: %1","Nie udało się zainicjować ponownie bramki płatności MONEI: %1"
"Domain is required for Apple Pay verification","Domena jest wymagana do weryfikacji Apple Pay"
"Could not load quote information","Nie można załadować informacji o ofercie"
"Quote not found for this cart ID","Nie znaleziono oferty dla tego ID koszyka"
"An error occurred while retrieving quote information","Wystąpił błąd podczas pobierania informacji o ofercie"
"Customer must be logged in to use saved cards","Klient musi być zalogowany, aby korzystać z zapisanych kart"
"The requested saved card was not found","Nie znaleziono żądanej zapisanej karty"
"Quote or payment card information not found","Nie znaleziono informacji o ofercie lub karcie płatniczej"
"Could not retrieve the saved card information.","Nie można pobrać informacji o zapisanej karcie."
"MONEI only supports a single partial capture per payment. Please capture the full remaining amount.","MONEI obsługuje tylko jedno częściowe przechwycenie na płatność. Przechwyć pełną pozostałą kwotę."
"Cannot create an invoice without items.","Nie można utworzyć faktury bez pozycji."
"Payment not found","Nie znaleziono płatności"
"Payment cannot be refunded","Płatność nie może zostać zwrócona"
"Quote not found","Nie znaleziono oferty"
"Error processing payment","Błąd przetwarzania płatności"
"Error processing payment with saved card","Błąd przetwarzania płatności zapisaną kartą"
"Customer Email","Email Klienta"
"Customer Name","Nazwa Klienta"
"PayPal Order ID","ID Zamówienia PayPal"
"PayPal Customer ID","ID Klienta PayPal"
"Payment details will be available after payment confirmation","Szczegóły płatności będą dostępne po potwierdzeniu płatności"
"Payment &amp; Shipping Method","Metoda Płatności &amp; Wysyłki"
"Payment Information","Informacje o Płatności"
"Shipping Information","Informacje o Wysyłce"
"Total Shipping Charges","Całkowite Koszty Wysyłki"
"Incl. Tax","Z VAT"
"Refund Information","Informacje o Zwrocie"
"MONEI Payment Details","Szczegóły Płatności MONEI"
"Payment ID:","ID Płatności:"
"Status:","Status:"
"Error Code:","Kod Błędu:"
"Error Message:","Komunikat Błędu:"
"Amount:","Kwota:"
"Last Updated:","Ostatnia Aktualizacja:"
"Log Level","Poziom Logowania"
"Select the logging level for debug purposes. Higher levels include all lower levels.","Wybierz poziom logowania do celów debugowania. Wyższe poziomy zawierają wszystkie niższe poziomy."
"Custom json style for the PayPal component. Must be valid JSON format. View more info <a href=""https://docs.monei.com/docs/monei-js/reference/#paypal-options"" target=""_blank"" rel=""noopener noreferrer"">here</a>","Niestandardowy styl json dla komponentu PayPal. Musi być w prawidłowym formacie JSON. Zobacz więcej informacji <a href=""https://docs.monei.com/docs/monei-js/reference/#paypal-options"" target=""_blank"" rel=""noopener noreferrer"">tutaj</a>"
