"Authorize","Valtuuta"
"Required parameters are missing. Cannot proceed with cancellation.","Vaaditut parametrit puuttuvat. Peruutusta ei voida jatkaa."
"MONEI payment cancellation failed: %1","MONEI-maksun peruutus epäonnistui: %1"
"MONEI payment cancellation failed. Please check the logs for more details.","MONEI-maksun peruutus epäonnistui. Tarkista lokit saadaksesi lisätietoja."
"The order has been successfully canceled.","Tilaus on peruutettu onnistuneesti."
"Order cancellation failed: %1","Tilauksen peruutus epäonnistui: %1"
"An unexpected error occurred during payment cancellation. Please check the logs for more details.","Maksun peruutuksen aikana tapahtui odottamaton virhe. Tarkista lokit saadaksesi lisätietoja."
"Invalid request: %1","Virheellinen pyyntö: %1"
"Payment required: %1","Maksu vaaditaan: %1"
"Resource not found: %1","Resurssia ei löydy: %1"
"Operation conflict: %1","Toimintoristiriita: %1"
"Validation error: %1","Validointivirhe: %1"
"An error occurred during the payment process","Maksuprosessin aikana tapahtui virhe"
"Please enter the name on the card.","Syötä kortilla oleva nimi."
"Please enter the name exactly as it appears on the card.","Syötä nimi täsmälleen sellaisena kuin se näkyy kortilla."
"(Test Mode)","(Testitila)"
"Payment ID","Maksu-ID"
"Authorization Code","Valtuutuskoodi"
"Cardholder Email","Kortinhaltijan Sähköposti"
"IBAN","IBAN"
"Account Holder","Tilin Omistaja"
"MONEI","MONEI"
"Current Version","Nykyinen Versio"
"Webservice Settings:","Verkkopalvelun Asetukset:"
"Mode","Tila"
"To define if we are going to connect with production or testing WS environment","Määrittääksemme, yhdistämmekö tuotanto- vai testiympäristöön"
"Test Account Id","Testitilin ID"
"Production Account Id","Tuotantotilin ID"
"Test Api Key","Testi-API-avain"
"Production Api Key","Tuotanto-API-avain"
"Language","Kieli"
"Basic settings:","Perusasetukset:"
"Email Settings:","Sähköpostiasetukset:"
"Send Order Email","Lähetä Tilausvahvistus"
"Send Invoice Email","Lähetä Laskusähköposti"
"Controls whether to send order confirmation emails after payment is confirmed","Määrittää, lähetetäänkö tilausvahvistussähköpostit maksun vahvistamisen jälkeen"
"Controls whether to send invoice emails for automatically created invoices. Does not affect manually created invoices, for which merchants can choose to notify customers during creation.","Määrittää, lähetetäänkö laskusähköpostit automaattisesti luoduista laskuista. Ei vaikuta manuaalisesti luotuihin laskuihin, joiden osalta kauppiaat voivat valita, ilmoitetaanko asiakkaille luomisen aikana."
"MONEI Redirect:","MONEI-uudelleenohjaus:"
"Enable","Ota käyttöön"
"Title","Otsikko"
"Description","Kuvaus"
"Payment from Applicable Countries","Maksu Sovellettavista Maista"
"Payment from Specific Countries","Maksu Tietyistä Maista"
"Sort Order","Lajittelujärjestys"
"MONEI Card Insite:","MONEI-kortti Paikan Päällä:"
"Enable tokenization","Ota tokenisaatio käyttöön"
"Json style","Json-tyyli"
"MONEI Bizum Insite:","MONEI Bizum Paikan Päällä:"
"MONEI Google and Apple Pay Insite:","MONEI Google ja Apple Pay Paikan Päällä:"
"Title Google Pay","Otsikko Google Pay"
"Title Apple Pay","Otsikko Apple Pay"
"Title Multibanco","Otsikko Multibanco"
"Title MBWay","Otsikko MBWay"
"Multibanco Redirect:","Multibanco-uudelleenohjaus:"
"MBWay Redirect:","MBWay-uudelleenohjaus:"
"MONEI PayPal Insite:","MONEI PayPal Paikan Päällä:"
"Select 'Yes' if you want to enable this payment method. Otherwise 'No'.","Valitse 'Kyllä', jos haluat ottaa tämän maksutavan käyttöön. Muuten 'Ei'."
"Text that will be displayed in checkout","Teksti, joka näytetään kassalla"
"Text that will be displayed in checkout for Google Pay","Teksti, joka näytetään kassalla Google Pay:lle"
"Text that will be displayed in checkout for Apple Pay","Teksti, joka näytetään kassalla Apple Pay:lle"
"Text that will be displayed in checkout for Multibanco","Teksti, joka näytetään kassalla Multibanco:lle"
"Text that will be displayed in checkout for MBWay","Teksti, joka näytetään kassalla MBWay:lle"
"Small description that will be displayed in checkout (Under title)","Pieni kuvaus, joka näytetään kassalla (otsikon alla)"
"Selectable with all the processing order statuses","Valittavissa kaikkien käsittelyssä olevien tilaustilan kanssa"
"Selectable with all the pending order statuses","Valittavissa kaikkien odottavien tilaustilan kanssa"
"In which order the payment method will be displayed in checkout","Missä järjestyksessä maksutapa näytetään kassalla"
"Are you certain you want to cancel this order? This action will automatically cancel the authorized (uncaptured) payment and release the customer's funds.","Oletko varma, että haluat peruuttaa tämän tilauksen? Tämä toiminto peruuttaa automaattisesti valtuutetun (veloittamattoman) maksun ja vapauttaa asiakkaan varat."
"Cancel the order","Peruuta tilaus"
"Never mind","Ei se mitään"
"Cancel","Peruuta"
"Cancellation reason","Peruutuksen syy"
"MONEI API key is not configured. Please set it in the module configuration.","MONEI API-avainta ei ole määritetty. Aseta se moduulin asetuksissa."
"Custom json style for the card component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Mukautettu json-tyyli korttikomponentille. Katso lisätietoja <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">täältä</a>"
"Custom json style for the bizum component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Mukautettu json-tyyli bizum-komponentille. Katso lisätietoja <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">täältä</a>"
"Custom json style for the google and apple component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Mukautettu json-tyyli google- ja apple-komponentille. Katso lisätietoja <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">täältä</a>"
"Allowed Countries","Sallitut Maat"
"Checking payment status...","Tarkistetaan maksun tilaa..."
"Checking payment status, it may take a few seconds...","Tarkistetaan maksun tilaa, tämä voi kestää muutaman sekunnin..."
"Loading","Ladataan"
"Payment error: %1","Maksuvirhe: %1"
"Payment error with code %1: %2","Maksuvirhe koodilla %1: %2"
"Payment was canceled by the customer or the payment processor","Asiakas tai maksunkäsittelijä peruutti maksun"
"Payment expired","Maksu vanhentui"
"Transaction approved","Tapahtuma hyväksytty"
"Service internal error. Please contact support","Palvelun sisäinen virhe. Ota yhteyttä tukeen"
"Transaction failed during payment processing","Tapahtuma epäonnistui maksun käsittelyn aikana"
"Transaction declined by the card-issuing bank","Kortin myöntänyt pankki hylkäsi tapahtuman"
"Transaction declined by the issuing bank","Myöntävä pankki hylkäsi tapahtuman"
"Payment method not allowed","Maksutapa ei ole sallittu"
"Wrong or not allowed currency","Väärä tai ei sallittu valuutta"
"Card rejected: invalid card number","Kortti hylätty: virheellinen korttinumero"
"Card rejected: wrong expiration date","Kortti hylätty: väärä voimassaoloaika"
"Card rejected: wrong CVC/CVV2 number","Kortti hylätty: väärä CVC/CVV2-numero"
"Card number not registered","Korttinumeroa ei ole rekisteröity"
"Card is expired","Kortti on vanhentunut"
"Strong Customer Authentication required","Vahva Asiakkaan Tunnistautuminen vaaditaan"
"3D Secure authentication failed","3D Secure -todennus epäonnistui"
"Authentication process timed out. Please try again","Todennusprosessi aikakatkaistiin. Yritä uudelleen"
"Transaction declined due to insufficient funds","Tapahtuma hylätty riittämättömien varojen vuoksi"
"The user has canceled the payment","Käyttäjä on peruuttanut maksun"
"Unknown error code: %1","Tuntematon virhekoodi: %1"
"You do not have permission to save this configuration.","Sinulla ei ole oikeuksia tallentaa tätä konfiguraatiota."
"Invalid JSON format in %1 field: %2. Please ensure that you provide valid JSON. Examples:
                - For a simple style: {"height":"45px"}
                - For nested properties: {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Make sure all property names and string values are enclosed in double quotes
                - No trailing commas allowed after the last property","Virheellinen JSON-muoto kentässä %1: %2. Varmista, että annat kelvollisen JSON:n. Esimerkkejä:
                - Yksinkertaiselle tyylille: {"height":"45px"}
                - Sisäkkäisille ominaisuuksille: {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Varmista, että kaikki ominaisuuksien nimet ja merkkijonoarvot ovat kaksinkertaisissa lainausmerkeissä
                - Viimeisen ominaisuuden jälkeen ei saa olla pilkkuja"
"The resource isn't set.","Resurssia ei ole asetettu."
"An error occurred rendering the pay with card. Please try again later.","Kortilla maksamisen renderöinnissä tapahtui virhe. Yritä myöhemmin uudelleen."
"Name on card","Nimi kortilla"
"Card number","Korttinumero"
"Save payment information to my account for future purchases","Tallenna maksutiedot tililleni tulevia ostoksia varten"
"An error occurred trying save the card.","Kortin tallentamisessa tapahtui virhe."
"expires","vanhenee"
"It is not possible to make the payment with the saved card.","Maksua ei voida suorittaa tallennetulla kortilla."
"Save MONEI tokenization?","Tallenna MONEI-tokenisaatio?"
"MONEI payment methods are not available. Please, check your MONEI configuration.","MONEI-maksutavat eivät ole käytettävissä. Tarkista MONEI-konfiguraatiosi."
"Bizum payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Bizum-maksutapa ei ole käytettävissä MONEI-tililläsi. Ota se käyttöön MONEI-tililläsi käyttääksesi sitä."
"Card payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Korttimaksutapa ei ole käytettävissä MONEI-tililläsi. Ota se käyttöön MONEI-tililläsi käyttääksesi sitä."
"Google Pay and Apple Pay payment methods are not available in your MONEI account. Enable at least one of them in your MONEI account to use it.","Google Pay- ja Apple Pay -maksutavat eivät ole käytettävissä MONEI-tililläsi. Ota käyttöön vähintään yksi niistä MONEI-tililläsi käyttääksesi sitä."
"Multibanco payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Multibanco-maksutapa ei ole käytettävissä MONEI-tililläsi. Ota se käyttöön MONEI-tililläsi käyttääksesi sitä."
"MBWay payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","MBWay-maksutapa ei ole käytettävissä MONEI-tililläsi. Ota se käyttöön MONEI-tililläsi käyttääksesi sitä."
"Payment failed: %1","Maksu epäonnistui: %1"
"Payment failed with error code %1: %2","Maksu epäonnistui virhekoodilla %1: %2"
"Stored Cards","Tallennetut Kortit"
"Place Order","Tee Tilaus"
"Check / Money order","Sekki / Maksumääräys"
"Pay with other payment methods","Maksa muilla maksutavoilla"
"Pay with card","Maksa kortilla"
"Google Pay","Google Pay"
"Multibanco","Multibanco"
"MBWay","MBWay"
"Bizum","Bizum"
"Stored Cards (Monei)","Tallennetut Kortit (MONEI)"
"Google/Apple Pay","Google/Apple Pay"
"Processing Payment","Käsitellään Maksua"
"Format JSON","Muotoile JSON"
"Invalid JSON","Virheellinen JSON"
"The JSON entered is invalid: %1","Syötetty JSON on virheellinen: %1"
"Please enter valid JSON. Examples: {"height":"45px"} or {"base":{"height":"30px"}}","Syötä kelvollinen JSON. Esimerkkejä: {"height":"45px"} tai {"base":{"height":"30px"}}"
"An error occurred with the payment. Please try again.","Maksun yhteydessä tapahtui virhe. Yritä uudelleen."
"There was an error processing your payment. Please try again.","Maksun käsittelyssä tapahtui virhe. Yritä uudelleen."
"Ok","Ok"
"Are you sure you want to cancel this order?","Haluatko varmasti peruuttaa tämän tilauksen?"
"English","Englanti"
"Spanish","Espanja"
"Catalan","Katalaani"
"Portuguese","Portugali"
"German","Saksa"
"Italian","Italia"
"French","Ranska"
"Dutch","Hollanti"
"Estonian","Viro"
"Finnish","Suomi"
"Latvian","Latvia"
"Norwegian","Norja"
"Polish","Puola"
"Russian","Venäjä"
"Card","Kortti"
"The credit memo's total must be positive.","Hyvityslaskun loppusumman on oltava positiivinen."
"Cannot create online refund for Refund to Store Credit.","Ei voida luoda verkkopalautusta Kaupan Krediittiin Palautukselle."
"You created the credit memo.","Loit hyvityslaskun."
"We can't save the credit memo right now.","Emme voi tallentaa hyvityslaskua juuri nyt."
"Unable to acquire payment lock for order %1, payment %2","Ei voida hankkia maksulukitusta tilaukselle %1, maksu %2"
"Unable to acquire order lock for order %1","Ei voida hankkia tilauslukitusta tilaukselle %1"
"Failed to convert Payment object to DTO: %1","Maksun objektin muuntaminen DTO:ksi epäonnistui: %1"
"MONEI Payment Error: %1","MONEI Maksuvirhe: %1"
"Failed to fetch payment data: %1","Maksutietojen hakeminen epäonnistui: %1"
"Order status set to %1 after full refund.","Tilauksen tila asetettu %1 täyden palautuksen jälkeen."
"Failed to execute %1: %2","Toiminnon %1 suoritus epäonnistui: %2"
"Store configuration issue: %1","Kaupan konfiguraatio-ongelma: %1"
"Parameter ""%1"" failed validation.","Parametri ""%1"" ei läpäissyt validointia."
"Authentication error during reinitialization: Please check your MONEI API credentials","Todennusvirhe uudelleenalustuksen aikana: Tarkista MONEI API-tunnuksesi"
"Failed to reinitialize MONEI payment gateway: %1","MONEI-maksuyhdyskäytävän uudelleenalustus epäonnistui: %1"
"Domain is required for Apple Pay verification","Verkkotunnus vaaditaan Apple Pay -vahvistusta varten"
"Could not load quote information","Tarjoustietoja ei voitu ladata"
"Quote not found for this cart ID","Tarjousta ei löytynyt tälle ostoskorin ID:lle"
"An error occurred while retrieving quote information","Virhe haettaessa tarjoustietoja"
"Customer must be logged in to use saved cards","Asiakkaan täytyy olla kirjautunut sisään käyttääkseen tallennettuja kortteja"
"The requested saved card was not found","Pyydettyä tallennettua korttia ei löytynyt"
"Quote or payment card information not found","Tarjous- tai maksukorttitietoja ei löytynyt"
"Could not retrieve the saved card information.","Tallennetun kortin tietoja ei voitu hakea."
"MONEI only supports a single partial capture per payment. Please capture the full remaining amount.","MONEI tukee vain yhtä osittaista veloitusta maksua kohden. Ole hyvä ja veloita koko jäljellä oleva summa."
"Cannot create an invoice without items.","Laskua ei voi luoda ilman tuotteita."
"Payment not found","Maksua ei löytynyt"
"Payment cannot be refunded","Maksua ei voida palauttaa"
"Quote not found","Tarjousta ei löytynyt"
"Error processing payment","Virhe maksun käsittelyssä"
"Error processing payment with saved card","Virhe käsiteltäessä maksua tallennetulla kortilla"
"Customer Email","Asiakkaan Sähköposti"
"Customer Name","Asiakkaan Nimi"
"PayPal Order ID","PayPal Tilaus-ID"
"PayPal Customer ID","PayPal Asiakas-ID"
"Payment details will be available after payment confirmation","Maksun tiedot ovat saatavilla maksun vahvistuksen jälkeen"
"Payment &amp; Shipping Method","Maksu- &amp; Toimitustapa"
"Payment Information","Maksutiedot"
"Shipping Information","Toimitustiedot"
"Total Shipping Charges","Toimituskulut Yhteensä"
"Incl. Tax","Sis. ALV"
"Refund Information","Palautustiedot"
"MONEI Payment Details","MONEI Maksutiedot"
"Payment ID:","Maksu-ID:"
"Status:","Tila:"
"Error Code:","Virhekoodi:"
"Error Message:","Virheviesti:"
"Amount:","Summa:"
"Last Updated:","Viimeksi Päivitetty:"
"Log Level","Lokitaso"
"Select the logging level for debug purposes. Higher levels include all lower levels.","Valitse lokitaso virheenkorjaustarkoituksiin. Korkeammat tasot sisältävät kaikki alemmat tasot."
"Custom json style for the PayPal component. Must be valid JSON format. View more info <a href=""https://docs.monei.com/docs/monei-js/reference/#paypal-options"" target=""_blank"" rel=""noopener noreferrer"">here</a>","Mukautettu json-tyyli PayPal-komponentille. Täytyy olla kelvollinen JSON-muoto. Katso lisätietoja <a href=""https://docs.monei.com/docs/monei-js/reference/#paypal-options"" target=""_blank"" rel=""noopener noreferrer"">täältä</a>"
