"Authorize","Autorizar"
"Payment from Applicable Countries","Pago desde Países Aplicables"
"Payment from Specific Countries","Pago desde Países Específicos"
"Sort Order","Orden de Clasificación"
"MONEI Card Insite:","Tarjeta MONEI en Sitio:"
"Enable tokenization","Habilitar tokenización"
"Json style","Estilo Json"
"MONEI Bizum Insite:","Bizum MONEI en Sitio:"
"MONEI Google and Apple Pay Insite:","Google y Apple Pay MONEI en Sitio:"
"Enable Apple Pay","Habilitar Apple Pay"
"Title Google Pay","Título de Google Pay"
"Title Apple Pay","Título de Apple Pay"
"Multibanco Redirect:","Redirección de Multibanco:"
"MBWay Redirect:","Redirección de MBWay:"
"Select 'Yes' if you want to enable this payment method. Otherwise 'No'.","Seleccione 'Sí' si desea habilitar este método de pago. De lo contrario, 'No'."
"Text that will be displayed in checkout","Texto que se mostrará en el proceso de pago"
"Text that will be displayed in checkout for Google Pay","Texto que se mostrará en el proceso de pago para Google Pay"
"Text that will be displayed in checkout for Apple Pay","Texto que se mostrará en el proceso de pago para Apple Pay"
"Small description that will be displayed in checkout (Under title)","Pequeña descripción que se mostrará en el proceso de pago (Bajo el título)"
"Selectable with all the processing order statuses","Seleccionable con todos los estados de pedido en procesamiento"
"Selectable with all the pending order statuses","Seleccionable con todos los estados de pedido pendientes"
"In which order the payment method will be displayed in checkout","En qué orden se mostrará el método de pago en el proceso de pago"
"Are you certain you want to cancel this order? This action will automatically cancel the authorized (uncaptured) payment and release the customer's funds.","¿Está seguro de que desea cancelar este pedido? Esta acción cancelará automáticamente el pago autorizado (no capturado) y liberará los fondos del cliente."
"Cancel the order","Cancelar el pedido"
"Never mind","No importa"
"Cancel","Cancelar"
"Cancellation reason","Motivo de la cancelación"
"MONEI API key is not configured. Please set it in the module configuration.","La clave API de MONEI no está configurada. Por favor, configúrela en la configuración del módulo."
"Custom json style for the card component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Estilo json personalizado para el componente de tarjeta. Ver más información <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">aquí</a>"
"Custom json style for the bizum component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Estilo json personalizado para el componente de bizum. Ver más información <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">aquí</a>"
"Custom json style for the google and apple component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Estilo json personalizado para el componente de google y apple. Ver más información <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">aquí</a>"
"You must register your domain in the ""MONEI Dashboard"" to use Apple Pay. For more information, click %1.","Debe registrar su dominio en el ""Dashboard de MONEI"" para utilizar Apple Pay. Para más información, haga clic %1."
"here","aquí"
"Allowed Countries","Países Permitidos"
"Invalid request: %1","Datos de solicitud no válidos: %1"
"Payment required: %1","Pago requerido: %1"
"Resource not found: %1","Recurso no encontrado: %1"
"Operation conflict: %1","Conflicto de operación: %1"
"Validation error: %1","Error de validación: %1"
"Checking payment status...","Comprobando estado del pago..."
"Checking payment status, it may take a few seconds...","Comprobando estado del pago, puede tardar unos segundos..."
"Loading","Cargando"
"Payment failed: %1","Pago fallido: %1"
"Payment failed with error code %1: %2","Pago fallido con código de error %1: %2"
"Payment was canceled by the customer or the payment processor","El pago fue cancelado por el cliente o el procesador de pagos"
"Payment expired","El pago ha expirado"
"Transaction approved","Transacción aprobada"
"Service internal error. Please contact support","Error interno del servicio. Por favor, contacte con soporte"
"Transaction failed during payment processing","La transacción falló durante el procesamiento del pago"
"Transaction declined by the card-issuing bank","Transacción rechazada por el banco emisor de la tarjeta"
"Transaction declined by the issuing bank","Transacción rechazada por el banco emisor"
"Payment method not allowed","Método de pago no permitido"
"Wrong or not allowed currency","Moneda incorrecta o no permitida"
"Card rejected: invalid card number","Tarjeta rechazada: número de tarjeta no válido"
"Card rejected: wrong expiration date","Tarjeta rechazada: fecha de caducidad incorrecta"
"Card rejected: wrong CVC/CVV2 number","Tarjeta rechazada: número CVC/CVV2 incorrecto"
"Card number not registered","Número de tarjeta no registrado"
"Card is expired","La tarjeta ha caducado"
"Strong Customer Authentication required","Se requiere Autenticación Reforzada de Cliente"
"3D Secure authentication failed","La autenticación 3D Secure ha fallado"
"Authentication process timed out. Please try again","El proceso de autenticación ha expirado. Por favor, inténtelo de nuevo"
"Transaction declined due to insufficient funds","Transacción rechazada por fondos insuficientes"
"The user has canceled the payment","El usuario ha cancelado el pago"
"Unknown error code: %1","Código de error desconocido: %1"
"Payment error: %1","Error de pago: %1"
"Payment error with code %1: %2","Error de pago con código %1: %2"
"Stored Cards","Tarjetas Guardadas"
"ending in %1 (expires: %2)","terminando en %1 (expira: %2)"
"Place Order","Realizar Pedido"
"Check / Money order","Cheque / Giro postal"
"Pay with other payment methods","Pagar con otros métodos de pago"
"Pay with card","Pagar con tarjeta"
"Google Pay","Google Pay"
"Apple Pay","Apple Pay"
"Multibanco","Multibanco"
"MBWay","MBWay"
"Bizum","Bizum"
"(Modo de Prueba)","(Modo de Prueba)"
"Pay with other payment methods","Pagar con otros métodos de pago"
"Pay with card","Pagar con tarjeta"
"Stored Cards (Monei)","Tarjetas Guardadas (Monei)"
"Bizum","Bizum"
"Google/Apple Pay","Google/Apple Pay"
"Multibanco","Multibanco"
"MBWay","MBWay"
"Processing Payment","Procesando Pago"
"ending in ","terminando en "
"ending in","terminando en"
"(expires:","(expira:"
"ending","terminando en"
"expires","expira"
"Place Order","Realizar Pedido"
"fin","terminando en"
