"Authorize","Autoriser"
"Wrong or not allowed currency","Feil eller ikke tillatt valuta"
"Card rejected: invalid card number","Kort avvist: ugyldig kortnummer"
"Card rejected: wrong expiration date","Kort avvist: feil utløpsdato"
"Card rejected: wrong CVC/CVV2 number","Kort avvist: feil CVC/CVV2-nummer"
"Card number not registered","Kortnummer ikke registrert"
"Card is expired","Kortet er utløpt"
"Strong Customer Authentication required","Sterk kundeautentisering påkrevd"
"3D Secure authentication failed","3D Secure-autentisering mislyktes"
"Authentication process timed out. Please try again","Autentiseringsprosessen ble tidsavbrutt. Vennligst prøv igjen"
"Transaction declined due to insufficient funds","Transaksjonen ble avvist på grunn av utilstrekkelige midler"
"The user has canceled the payment","Brukeren har kansellert betalingen"
"Unknown error code: %1","Ukjent feilkode: %1"
"You do not have permission to save this configuration.","Du har ikke tillatelse til å lagre denne konfigurasjonen."
"Invalid JSON format in %1 field: %2. Please ensure that you provide valid JSON. Examples:
                - For a simple style: {"height":"45px"}
                - For nested properties: {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Make sure all property names and string values are enclosed in double quotes
                - No trailing commas allowed after the last property","Ugyldig JSON-format i %1-feltet: %2. Vennligst sørg for at du oppgir gyldig JSON. Eksempler:
                - For en enkel stil: {"height":"45px"}
                - For nestede egenskaper: {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Sørg for at alle egenskapsnavn og strengverdier er omsluttet av doble anførselstegn
                - Ingen etterfølgende kommaer tillatt etter siste egenskap"
"The resource isn't set.","Ressursen er ikke satt."
"An error occurred rendering the pay with card. Please try again later.","Det oppstod en feil ved rendering av betal med kort. Vennligst prøv igjen senere."
"Name on card","Navn på kort"
"Card number","Kortnummer"
"Save payment information to my account for future purchases","Lagre betalingsinformasjon til min konto for fremtidige kjøp"
"An error occurred trying save the card.","Det oppstod en feil ved forsøk på å lagre kortet."
"expires","utløper"
"It is not possible to make the payment with the saved card.","Det er ikke mulig å gjennomføre betalingen med det lagrede kortet."
"Save MONEI tokenization?","Lagre MONEI-tokenisering?"
"MONEI payment methods are not available. Please, check your MONEI configuration.","MONEI-betalingsmetoder er ikke tilgjengelige. Vennligst sjekk din MONEI-konfigurasjon."
"Bizum payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Bizum-betalingsmetode er ikke tilgjengelig i din MONEI-konto. Vennligst aktiver den i din MONEI-konto for å bruke den."
"Card payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Kortbetalingsmetode er ikke tilgjengelig i din MONEI-konto. Vennligst aktiver den i din MONEI-konto for å bruke den."
"Google Pay and Apple Pay payment methods are not available in your MONEI account. Enable at least one of them in your MONEI account to use it.","Google Pay- og Apple Pay-betalingsmetoder er ikke tilgjengelige i din MONEI-konto. Aktiver minst én av dem i din MONEI-konto for å bruke den."
"Multibanco payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Multibanco-betalingsmetode er ikke tilgjengelig i din MONEI-konto. Vennligst aktiver den i din MONEI-konto for å bruke den."
"MBWay payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","MBWay-betalingsmetode er ikke tilgjengelig i din MONEI-konto. Vennligst aktiver den i din MONEI-konto for å bruke den."
"Payment failed: %1","Betaling mislyktes: %1"
"Payment failed with error code %1: %2","Betaling mislyktes med feilkode %1: %2"
"Stored Cards","Lagrede Kort"
"Place Order","Legg Inn Bestilling"
"Check / Money order","Sjekk / Pengeanvisning"
"Pay with other payment methods","Betal med andre betalingsmetoder"
"Pay with card","Betal med kort"
"Google Pay","Google Pay"
"Multibanco","Multibanco"
"MBWay","MBWay"
"Bizum","Bizum"
"Stored Cards (Monei)","Lagrede Kort (MONEI)"
"Google/Apple Pay","Google/Apple Pay"
"Processing Payment","Behandler Betaling"
"Format JSON","Formater JSON"
"Invalid JSON","Ugyldig JSON"
"The JSON entered is invalid: %1","JSON-en som er angitt er ugyldig: %1"
"Please enter valid JSON. Examples: {"height":"45px"} or {"base":{"height":"30px"}}","Vennligst angi gyldig JSON. Eksempler: {"height":"45px"} eller {"base":{"height":"30px"}}"
"An error occurred with the payment. Please try again.","Det oppstod en feil med betalingen. Vennligst prøv igjen."
"There was an error processing your payment. Please try again.","Det oppstod en feil under behandling av betalingen din. Vennligst prøv igjen."
"Ok","Ok"
"Are you sure you want to cancel this order?","Er du sikker på at du vil kansellere denne bestillingen?"
"English","Engelsk"
"Spanish","Spansk"
"Catalan","Katalansk"
"Portuguese","Portugisisk"
"German","Tysk"
"Italian","Italiensk"
"French","Fransk"
"Dutch","Nederlandsk"
"Estonian","Estisk"
"Finnish","Finsk"
"Latvian","Latvisk"
"Norwegian","Norsk"
"Polish","Polsk"
"Russian","Russisk"
