"Authorize","Autorizar"
"Please enter the name exactly as it appears on the card.","Insira o nome exatamente como aparece no cartão."
"(Test Mode)","(Modo de Teste)"
"Payment ID","ID do Pagamento"
"Authorization Code","Código de Autorização"
"Cardholder Email","Email do Titular"
"IBAN","IBAN"
"Account Holder","Titular da Conta"
"MONEI","MONEI"
"Current Version","Versão Atual"
"Webservice Settings:","Configurações do Serviço Web:"
"Mode","Modo"
"To define if we are going to connect with production or testing WS environment","Para definir se vamos conectar com o ambiente de produção ou de teste"
"Test Account Id","ID da Conta de Teste"
"Production Account Id","ID da Conta de Produção"
"Test Api Key","Chave API de Teste"
"Production Api Key","Chave API de Produção"
"Language","Idioma"
"Basic settings:","Configurações Básicas:"
"Email Settings:","Configurações de Email:"
"Send Order Email","Enviar Email de Pedido"
"Send Invoice Email","Enviar Email de Fatura"
"Controls whether to send order confirmation emails after payment is confirmed","Controla se os emails de confirmação de pedido são enviados após a confirmação do pagamento"
"Controls whether to send invoice emails for automatically created invoices. Does not affect manually created invoices, for which merchants can choose to notify customers during creation.","Controla se os emails de fatura são enviados para faturas criadas automaticamente. Não afeta faturas criadas manualmente, para as quais os comerciantes podem optar por notificar os clientes durante a criação."
"MONEI Redirect:","Redirecionamento MONEI:"
"Enable","Ativar"
"Title","Título"
"Description","Descrição"
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento de Países Específicos"
"Sort Order","Ordem de Classificação"
"MONEI Card Insite:","Cartão MONEI no Site:"
"Enable tokenization","Ativar tokenização"
"Json style","Estilo Json"
"MONEI Bizum Insite:","Bizum MONEI no Site:"
"MONEI Google and Apple Pay Insite:","Google e Apple Pay MONEI no Site:"
"Title Google Pay","Título Google Pay"
"Title Apple Pay","Título Apple Pay"
"Title Multibanco","Título Multibanco"
"Title MBWay","Título MBWay"
"Multibanco Redirect:","Redirecionamento Multibanco:"
"MBWay Redirect:","Redirecionamento MBWay:"
"MONEI PayPal Insite:","PayPal MONEI no Site:"
"Select 'Yes' if you want to enable this payment method. Otherwise 'No'.","Selecione 'Sim' se quiser ativar este método de pagamento. Caso contrário, 'Não'."
"Text that will be displayed in checkout","Texto que será exibido no checkout"
"Text that will be displayed in checkout for Google Pay","Texto que será exibido no checkout para Google Pay"
"Text that will be displayed in checkout for Apple Pay","Texto que será exibido no checkout para Apple Pay"
"Text that will be displayed in checkout for Multibanco","Texto que será exibido no checkout para Multibanco"
"Text that will be displayed in checkout for MBWay","Texto que será exibido no checkout para MBWay"
"Small description that will be displayed in checkout (Under title)","Pequena descrição que será exibida no checkout (Sob o título)"
"Selectable with all the processing order statuses","Selecionável com todos os status de pedido em processamento"
"Selectable with all the pending order statuses","Selecionável com todos os status de pedido pendentes"
"In which order the payment method will be displayed in checkout","Em que ordem o método de pagamento será exibido no checkout"
"Are you certain you want to cancel this order? This action will automatically cancel the authorized (uncaptured) payment and release the customer's funds.","Tem certeza de que deseja cancelar este pedido? Esta ação cancelará automaticamente o pagamento autorizado (não capturado) e liberará os fundos do cliente."
"Cancel the order","Cancelar o pedido"
"Never mind","Não importa"
"Cancel","Cancelar"
"Cancellation reason","Motivo do cancelamento"
"MONEI API key is not configured. Please set it in the module configuration.","A chave API MONEI não está configurada. Configure-a na configuração do módulo."
"Custom json style for the card component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Estilo json personalizado para o componente de cartão. Veja mais informações <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">aqui</a>"
"Custom json style for the bizum component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Estilo json personalizado para o componente bizum. Veja mais informações <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">aqui</a>"
"Custom json style for the google and apple component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Estilo json personalizado para o componente google e apple. Veja mais informações <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">aqui</a>"
"Allowed Countries","Países Permitidos"
"Checking payment status...","Verificando o status do pagamento..."
"Checking payment status, it may take a few seconds...","Verificando o status do pagamento, pode levar alguns segundos..."
"Loading","Carregando"
"Payment error: %1","Erro de pagamento: %1"
"Payment error with code %1: %2","Erro de pagamento com código %1: %2"
"Payment was canceled by the customer or the payment processor","O pagamento foi cancelado pelo cliente ou pelo processador de pagamento"
"Payment expired","O pagamento expirou"
"Transaction approved","Transação aprovada"
"Service internal error. Please contact support","Erro interno do serviço. Entre em contato com o suporte"
"Transaction failed during payment processing","A transação falhou durante o processamento do pagamento"
"Transaction declined by the card-issuing bank","Transação recusada pelo banco emissor do cartão"
"Transaction declined by the issuing bank","Transação recusada pelo banco emissor"
"Payment method not allowed","Método de pagamento não permitido"
"Wrong or not allowed currency","Moeda incorreta ou não permitida"
"Card rejected: invalid card number","Cartão rejeitado: número de cartão inválido"
"Card rejected: wrong expiration date","Cartão rejeitado: data de validade incorreta"
"Card rejected: wrong CVC/CVV2 number","Cartão rejeitado: número CVC/CVV2 incorreto"
"Card number not registered","Número de cartão não registrado"
"Card is expired","O cartão está expirado"
"Strong Customer Authentication required","Autenticação Forte do Cliente necessária"
"3D Secure authentication failed","A autenticação 3D Secure falhou"
"Authentication process timed out. Please try again","O processo de autenticação expirou. Por favor, tente novamente"
"Transaction declined due to insufficient funds","Transação recusada devido a fundos insuficientes"
"The user has canceled the payment","O usuário cancelou o pagamento"
"Unknown error code: %1","Código de erro desconhecido: %1"
"You do not have permission to save this configuration.","Você não tem permissão para salvar esta configuração."
"Invalid JSON format in %1 field: %2. Please ensure that you provide valid JSON. Examples:
                - For a simple style: {"height":"45px"}
                - For nested properties: {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Make sure all property names and string values are enclosed in double quotes
                - No trailing commas allowed after the last property","Formato JSON inválido no campo %1: %2. Certifique-se de fornecer um JSON válido. Exemplos:
                - Para um estilo simples: {"height":"45px"}
                - Para propriedades aninhadas: {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Certifique-se de que todos os nomes de propriedade e valores de string estejam entre aspas duplas
                - Não são permitidas vírgulas finais após a última propriedade"
"The resource isn't set.","O recurso não está definido."
"An error occurred rendering the pay with card. Please try again later.","Ocorreu um erro ao renderizar o pagamento com cartão. Por favor, tente novamente mais tarde."
"Name on card","Nome no cartão"
"Card number","Número do cartão"
"Save payment information to my account for future purchases","Salvar informações de pagamento na minha conta para compras futuras"
"An error occurred trying save the card.","Ocorreu um erro ao tentar salvar o cartão."
"expires","expira"
"It is not possible to make the payment with the saved card.","Não é possível fazer o pagamento com o cartão salvo."
"Save MONEI tokenization?","Salvar tokenização MONEI?"
"MONEI payment methods are not available. Please, check your MONEI configuration.","Os métodos de pagamento MONEI não estão disponíveis. Por favor, verifique sua configuração MONEI."
"Bizum payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","O método de pagamento Bizum não está disponível na sua conta MONEI. Por favor, ative-o na sua conta MONEI para usá-lo."
"Card payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","O método de pagamento com cartão não está disponível na sua conta MONEI. Por favor, ative-o na sua conta MONEI para usá-lo."
"Google Pay and Apple Pay payment methods are not available in your MONEI account. Enable at least one of them in your MONEI account to use it.","Os métodos de pagamento Google Pay e Apple Pay não estão disponíveis na sua conta MONEI. Ative pelo menos um deles na sua conta MONEI para usá-lo."
"Multibanco payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","O método de pagamento Multibanco não está disponível na sua conta MONEI. Por favor, ative-o na sua conta MONEI para usá-lo."
"MBWay payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","O método de pagamento MBWay não está disponível na sua conta MONEI. Por favor, ative-o na sua conta MONEI para usá-lo."
"Payment failed: %1","Pagamento falhou: %1"
"Payment failed with error code %1: %2","Pagamento falhou com código de erro %1: %2"
"Stored Cards","Cartões Armazenados"
"Place Order","Fazer Pedido"
"Check / Money order","Cheque / Ordem de pagamento"
"Pay with other payment methods","Pagar com outros métodos de pagamento"
"Pay with card","Pagar com cartão"
"Google Pay","Google Pay"
"Multibanco","Multibanco"
"MBWay","MBWay"
"Bizum","Bizum"
"Stored Cards (Monei)","Cartões Armazenados (MONEI)"
"Google/Apple Pay","Google/Apple Pay"
"Processing Payment","Processando Pagamento"
"Format JSON","Formatar JSON"
"Invalid JSON","JSON Inválido"
"The JSON entered is invalid: %1","O JSON inserido é inválido: %1"
"Please enter valid JSON. Examples: {"height":"45px"} or {"base":{"height":"30px"}}","Por favor, insira um JSON válido. Exemplos: {"height":"45px"} ou {"base":{"height":"30px"}}"
"An error occurred with the payment. Please try again.","Ocorreu um erro com o pagamento. Por favor, tente novamente."
"There was an error processing your payment. Please try again.","Houve um erro ao processar seu pagamento. Por favor, tente novamente."
"Ok","Ok"
"Are you sure you want to cancel this order?","Tem certeza de que deseja cancelar este pedido?"
"English","Inglês"
"Spanish","Espanhol"
"Catalan","Catalão"
"Portuguese","Português"
"German","Alemão"
"Italian","Italiano"
"French","Francês"
"Dutch","Holandês"
"Estonian","Estoniano"
"Finnish","Finlandês"
"Latvian","Letão"
"Norwegian","Norueguês"
"Polish","Polonês"
"Russian","Russo"
"Card","Cartão"
"The credit memo's total must be positive.","O total da nota de crédito deve ser positivo."
"Cannot create online refund for Refund to Store Credit.","Não é possível criar reembolso online para Reembolso em Crédito da Loja."
"You created the credit memo.","Você criou a nota de crédito."
"We can't save the credit memo right now.","Não podemos salvar a nota de crédito no momento."
"Your payment expired. Your cart has been restored so you can try again.","Seu pagamento expirou. Seu carrinho foi restaurado para que você possa tentar novamente."
"There was a problem processing your payment. Your cart has been restored so you can try again.","Houve um problema ao processar seu pagamento. Seu carrinho foi restaurado para que você possa tentar novamente."
"An unexpected error occurred. Please try again or contact customer support.","Ocorreu um erro inesperado. Por favor, tente novamente ou entre em contato com o suporte ao cliente."
"Invalid form key. Please refresh the page and try again.","Chave de formulário inválida. Por favor, atualize a página e tente novamente."
"No payment method selected.","Nenhum método de pagamento selecionado."
"No order found. Please return to checkout and try again.","Nenhum pedido encontrado. Por favor, retorne ao checkout e tente novamente."
"Unable to process payment. Please try again.","Não foi possível processar o pagamento. Por favor, tente novamente."
"Cannot capture payment: Missing payment ID","Não é possível capturar o pagamento: ID de pagamento ausente"
"Error capturing payment: %1","Erro ao capturar o pagamento: %1"
"Cannot process refund: Monei payment ID is missing.","Não é possível processar o reembolso: ID de pagamento Monei ausente."
"Error processing refund: %1","Erro ao processar o reembolso: %1"
"•••• %1","•••• %1"
"PayPal payment method is not available in your Monei account. Please enable it in your Monei account to use it.","O método de pagamento PayPal não está disponível na sua conta Monei. Por favor, ative-o na sua conta Monei para usá-lo."
"Missing required field: %1","Campo obrigatório ausente: %1"
"Failed to convert Payment object to DTO: %1","Falha ao converter objeto de Pagamento para DTO: %1"
"Unable to acquire payment lock for order %1, payment %2","Não foi possível adquirir o bloqueio de pagamento para o pedido %1, pagamento %2"
"Unable to acquire order lock for order %1","Não foi possível adquirir o bloqueio do pedido para o pedido %1"
"Failed to fetch payment data: %1","Falha ao buscar dados do pagamento: %1"
"Order status set to %1 after full refund.","Status do pedido definido como %1 após reembolso total."
"Failed to execute %1: %2","Falha ao executar %1: %2"
"Store configuration issue: %1","Problema na configuração da loja: %1"
"Parameter ""%1"" failed validation.","O parâmetro ""%1"" falhou na validação."
"Authentication error during reinitialization: Please check your MONEI API credentials","Erro de autenticação durante a reinicialização: Por favor, verifique suas credenciais da API MONEI"
"Failed to reinitialize MONEI payment gateway: %1","Falha ao reinicializar o gateway de pagamento MONEI: %1"
"Domain is required for Apple Pay verification","Domínio é necessário para verificação do Apple Pay"
"Could not load quote information","Não foi possível carregar as informações do orçamento"
"Quote not found for this cart ID","Orçamento não encontrado para este ID de carrinho"
"An error occurred while retrieving quote information","Ocorreu um erro ao recuperar as informações do orçamento"
"Customer must be logged in to use saved cards","O cliente deve estar logado para usar cartões salvos"
"The requested saved card was not found","O cartão salvo solicitado não foi encontrado"
"Quote or payment card information not found","Informações do orçamento ou cartão de pagamento não encontradas"
"Could not retrieve the saved card information.","Não foi possível recuperar as informações do cartão salvo."
"MONEI only supports a single partial capture per payment. Please capture the full remaining amount.","MONEI suporta apenas uma captura parcial por pagamento. Por favor, capture o valor total restante."
"Cannot create an invoice without items.","Não é possível criar uma fatura sem itens."
"Payment not found","Pagamento não encontrado"
"Payment cannot be refunded","O pagamento não pode ser reembolsado"
"Quote not found","Orçamento não encontrado"
"Error processing payment with saved card","Erro ao processar pagamento com cartão salvo"
"Payment details will be available after payment confirmation","Os detalhes do pagamento estarão disponíveis após a confirmação do pagamento"
"Payment &amp; Shipping Method","Método de Pagamento &amp; Envio"
"Total Shipping Charges","Total de Custos de Envio"
"Incl. Tax","Incl. Imposto"
"Refund Information","Informações de Reembolso"
"MONEI Payment Details","Detalhes do Pagamento MONEI"
"Payment ID:","ID do Pagamento:"
"Status:","Status:"
"Error Code:","Código de Erro:"
"Error Message:","Mensagem de Erro:"
"Amount:","Valor:"
"Last Updated:","Última Atualização:"
"Log Level","Nível de Log"
"Select the logging level for debug purposes. Higher levels include all lower levels.","Selecione o nível de log para fins de depuração. Níveis mais altos incluem todos os níveis mais baixos."
"Custom json style for the PayPal component. Must be valid JSON format. View more info <a href=""https://docs.monei.com/docs/monei-js/reference/#paypal-options"" target=""_blank"" rel=""noopener noreferrer"">here</a>","Estilo json personalizado para o componente PayPal. Deve estar em formato JSON válido. Veja mais informações <a href=""https://docs.monei.com/docs/monei-js/reference/#paypal-options"" target=""_blank"" rel=""noopener noreferrer"">aqui</a>"
